"","countyFIPS","Week","total_deaaths","total_vaccinesDistributed","total_vaccinationsInitiated","total_vaccinationsCompleted","total_newDeaths","total_vaccinesAdministered","total_vaccinationsAdditionalDose"
"1","001",1,NA,NA,NA,NA,NA,NA,NA
"2","001",2,0,NA,NA,NA,NA,NA,NA
"3","001",3,0,NA,NA,NA,0,NA,NA
"4","001",4,0,NA,NA,NA,0,NA,NA
"5","001",5,18,NA,NA,NA,4,NA,NA
"6","001",6,39,NA,NA,NA,2,NA,NA
"7","001",7,66,NA,NA,NA,5,NA,NA
"8","001",8,71,NA,NA,NA,1,NA,NA
"9","001",9,84,NA,NA,NA,2,NA,NA
"10","001",10,91,NA,NA,NA,0,NA,NA
"11","001",11,91,NA,NA,NA,0,NA,NA
"12","001",12,91,NA,NA,NA,0,NA,NA
"13","001",13,91,NA,NA,NA,0,NA,NA
"14","001",14,95,NA,NA,NA,1,NA,NA
"15","001",15,98,NA,NA,NA,0,NA,NA
"16","001",16,98,NA,NA,NA,0,NA,NA
"17","001",17,104,NA,NA,NA,1,NA,NA
"18","001",18,110,NA,NA,NA,1,NA,NA
"19","001",19,112,NA,NA,NA,0,NA,NA
"20","001",20,128,NA,NA,NA,3,NA,NA
"21","001",21,133,NA,NA,NA,0,NA,NA
"22","001",22,140,NA,NA,NA,2,NA,NA
"23","001",23,160,NA,NA,NA,2,NA,NA
"24","001",24,162,NA,NA,NA,1,NA,NA
"25","001",25,176,NA,NA,NA,2,NA,NA
"26","001",26,182,NA,NA,NA,0,NA,NA
"27","001",27,186,NA,NA,NA,2,NA,NA
"28","001",28,204,NA,NA,NA,2,NA,NA
"29","001",29,231,NA,NA,NA,4,NA,NA
"30","001",30,239,NA,NA,NA,1,NA,NA
"31","001",31,249,NA,NA,NA,1,NA,NA
"32","001",32,261,NA,NA,NA,2,NA,NA
"33","001",33,266,NA,NA,NA,NA,NA,NA
"34","001",34,268,NA,NA,NA,1,NA,NA
"35","001",35,271,NA,NA,NA,0,NA,NA
"36","001",36,269,NA,NA,NA,1,NA,NA
"37","001",37,284,NA,NA,NA,2,NA,NA
"38","001",38,294,NA,NA,NA,1,NA,NA
"39","001",39,294,NA,NA,NA,0,NA,NA
"40","001",40,300,NA,NA,NA,1,NA,NA
"41","001",41,306,NA,NA,NA,1,NA,NA
"42","001",42,313,NA,NA,NA,1,NA,NA
"43","001",43,318,NA,NA,NA,1,NA,NA
"44","001",44,335,NA,NA,NA,4,NA,NA
"45","001",45,363,NA,NA,NA,3,NA,NA
"46","001",46,380,NA,NA,NA,2,NA,NA
"47","001",47,399,NA,2169,515,5,NA,NA
"48","001",48,419,NA,2414,1000,1,NA,NA
"49","001",49,430,NA,2566,1290,3,NA,NA
"50","001",50,453,NA,2786,1650,3,NA,NA
"51","001",51,458,NA,3162,1943,1,NA,NA
"52","001",52,465,NA,3673,2155,1,NA,NA
"53","001",53,473,NA,4231,2430,1,NA,NA
"54","001",54,476,NA,4749,2732,0,NA,NA
"55","001",55,478,NA,5224,3174,1,NA,NA
"56","001",56,489,NA,5611,3737,1,NA,NA
"57","001",57,493,NA,5778,4149,1,NA,NA
"58","001",58,497,NA,5869,4537,0,NA,NA
"59","001",59,497,NA,6021,4894,0,NA,NA
"60","001",60,497,NA,6229,5076,0,NA,NA
"61","001",61,500,NA,6718,5510,1,NA,NA
"62","001",62,504,NA,7292,6057,0,NA,NA
"63","001",63,504,NA,7812,6768,0,NA,NA
"64","001",64,504,NA,8010,7102,0,NA,NA
"65","001",65,504,NA,8190,7360,0,NA,NA
"66","001",66,504,NA,8520,7876,0,NA,NA
"67","001",67,504,NA,8894,8330,0,NA,NA
"68","001",68,504,NA,9194,8653,0,NA,NA
"69","001",69,504,NA,9540,8812,0,NA,NA
"70","001",70,504,NA,9975,9052,0,NA,NA
"71","001",71,504,NA,10707,9349,0,NA,NA
