"","countyFIPS","percap_personal_income_2020","household_size","median_age_2019","trump_votes","biden_votes","jorgensen_votes","total_votes","pop_65_plus_ratio","urban_code_2013","level_of_urban","perc_b","pop","all_deaths","total_deaths_per_1000","perc_trump"
"1",1,39199,2.68,40.3,6570,1785,36,8391,0.182974079126876,6,"Noncore",20.2680703277621,18428,3546,192.424571304537,78.2981766178048
"2",3,31938,2.95,36.4,2300,825,30,3155,0.139997617061837,6,"Noncore",17.7355312236795,8311,1555,187.101431837324,72.9001584786054
"3",5,38281,2.65,36.7,4018,625,25,4668,0.175154041319319,6,"Noncore",17.2800718132855,11140,2544,228.366247755835,86.0754070265638
"4",7,43156,2.3,46.1,897,652,6,1555,0.257489060922248,4,"Small metro",38.2200647249191,3090,314,101.618122977346,57.6848874598071
"5",9,36399,2.54,35.5,8906,9139,207,18252,0.171178961839509,5,"Micropolitan",43.2707667731629,45072,7303,162.029641462549,48.7946526408065
"6",11,37333,2.8,41.1,7796,931,74,8801,0.183805291442745,6,"Noncore",2.95238095238095,18900,3365,178.042328042328,88.5808430860129
"7",13,40435,3.03,35.7,26804,10453,664,37921,0.130146749544329,2,"large fringe metro",13.6479937018722,81294,19473,239.537973282161,70.6837899844413
"8",15,42734,2.75,38.1,37615,12099,701,50415,0.146811543874399,2,"large fringe metro",11.9936875328774,106456,21548,202.412264221838,74.610730933254
"9",17,36234,2.56,39.9,4111,2393,60,6564,0.182376309136873,5,"Micropolitan",37.7879092900705,16889,2164,128.130735982,62.629494210847
"10",19,35260,2.57,39.6,6419,1269,55,7743,0.177710222588623,6,"Noncore",11.6994689159638,19206,2023,105.331667187337,82.9006844892161
"11",21,44830,2.54,36.4,26617,43412,749,70778,0.164033600240937,4,"Small metro",56.3753871891051,153026,28823,188.353613111497,37.6063183475091
"12",23,36712,2.71,35.8,4328,1311,67,5706,0.177923581628715,6,"Noncore",28.6557886557887,12870,1460,113.442113442113,75.8499824745881
"13",25,30007,2.82,41.1,7001,690,57,7748,0.17555462972607,4,"Small metro",4.71887550200803,18924,2487,131.42041851617,90.358802271554
